Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220103-7002-44B0A250B288_Threaten,2022-01-03,Threaten,-3.5,Verbal Conflict,,Shiromani Akali Dal,India,Political Party,Shiromani Akali Dal,Banwarilal Purohit,India,Governor,Banwarilal Purohit,IND,Punjab,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-4607-958Df4912178_Accuse,2022-01-03,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,Uttar Pradesh,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-7081-4Acc724Fc09F_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,Calcutta,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-0203-15D6B4304172_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,Calcutta,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-1956-A30E4Dd4B371_Request,2022-01-03,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Calcutta High Court,India,High Court,Calcutta High Court,IND,Calcutta,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-8012-D3426B08E5B5_Concede,2022-01-03,Concede,4.5,Verbal Cooperation,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,Punjab,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220103-7949-7A9173205E67_Accuse,2022-01-03,Accuse,-3.0,Verbal Conflict,,Manish Sisodia,India,Deputy Prime Minister,Manish Sisodia,Bharatiya Janata Party,India,Political Party,Bjp,IND,Delhi,2022-01-03,English,Ngec_Coder-Vers001-B1-Run-001
20220104-2607-1B983978E41F_Assault,2022-01-04,Assault,-9.0,Material Conflict,Health,Bharatiya Janata Party,India,Political Party,Senior Bjp Leaders,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,Mathura,2022-01-04,English,Ngec_Coder-Vers001-B1-Run-001
20220104-1300-9C72D80B57B5_Assault,2022-01-04,Assault,-9.0,Material Conflict,Health,Bharatiya Janata Party,India,Political Party,Senior Bjp Leaders,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,Mathura,2022-01-04,English,Ngec_Coder-Vers001-B1-Run-001
20220105-7284-65B3Eba369C4_Sanction_Convict,2022-01-05,Sanction,-6.0,Material Conflict,Election,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,Punjab; Haryana,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-6209-6Df2B8B18259_Sanction,2022-01-05,Sanction,-6.0,Material Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,Maharashtra; Gujarat; Mp,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-7165-16E9Ef36397E_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress Government,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-7284-65B3Eba369C4_Retreat,2022-01-05,Retreat,6.5,Material Cooperation,Election,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,Punjab; Haryana,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-9860-66C527A709E5_Concede,2022-01-05,Concede,4.5,Verbal Cooperation,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-9860-66C527A709E5_Mobilize,2022-01-05,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-5020-D503D04Dec2B_Mobilize,2022-01-05,Mobilize,-5.5,Material Conflict,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-1569-4Ebc723C8Cce_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modis,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220105-3302-7D558B9Ea134_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress Government,IND,Punjab,2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
20220106-0634-Af93C8B33D98_Mobilize,2022-01-06,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,Parliament House Complex,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-7337-48157Bfcf00D_Sanction,2022-01-06,Sanction,-6.0,Material Conflict,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,Uttar Pradesh,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-1784-5F98F9313C5F_Protest,2022-01-06,Protest,-5.0,Material Conflict,Health,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,Varanasi,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-4410-867E023C77F0_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,,Ashok Gehlot,India,Chief Minister,Ashok Gehlot,Narendra Modi,India,Prime Minister,Narendra Modi,IND,Punjab,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-0874-Ca93Dafc26E8_Protest,2022-01-06,Protest,-5.0,Material Conflict,Health,Congee,,Diet,Opposition Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,Karnataka,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-7861-4Dd153B4Ee12_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,Punjab,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-7861-4Dd153B4Ee12_Assault,2022-01-06,Assault,-9.0,Material Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,Punjab,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-9631-79D56Eaa36Aa_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,Health,Allahabad High Court,India,High Court,Allahabad High Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,Allahabad,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-0634-Af93C8B33D98_Concede,2022-01-06,Concede,4.5,Verbal Cooperation,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,Punjab,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220107-7931-193A66D2766E_Sanction,2022-01-07,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,Punjab,2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
20220107-5665-Cc3A8F1A07F2_Concede,2022-01-07,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,Punjab,2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
20220107-1555-F6Aef0D73810_Accuse,2022-01-07,Accuse,-3.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,Punjab,2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
20220107-8345-0Eebf94Aed72_Assault,2022-01-07,Assault,-9.0,Material Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp Government,IND,Punjab,2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
20220107-7931-193A66D2766E_Concede,2022-01-07,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,Punjab,2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
