Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220802-0148-5961A21135C4_Assault,2022-08-02 00:00:00,Assault,-9.0,Material Conflict,Human_Rights,Taliban,Afghanistan,Islamist Group,Taliban,Ayman Al-Zawahiri,,Islamic Militant,Ayman Al - Zawahiri,AFG,Afghanistan,2022-08-02,English,Ngec_Coder-Vers001-B1-Run-001
20220802-0886-87D346B0Eaf1_Assault,2022-08-02 00:00:00,Assault,-9.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Ayman Al-Zawahiri,,Islamic Militant,Ayman Al - Zawahiri,AFG,Kabul,2022-08-02,English,Ngec_Coder-Vers001-B1-Run-001
20220802-4722-464Ac6Ae8A85_Accuse,2022-08-02 00:00:00,Accuse,-3.0,Verbal Conflict,Military | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Ayman Al-Zawahiri,,Islamic Militant,Ayman Al - Zawahiri,AFG,Kabul,2022-08-02,English,Ngec_Coder-Vers001-B1-Run-001
20220803-3364-D7510127Ea92_Assault_Targeted,2022-08-03 00:00:00,Assault,-10.0,Material Conflict,Military | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Ayman Al-Zawahiri,,Islamic Militant,Ayman Al - Zawahiri,AFG,Kabul,2022-08-03,English,Ngec_Coder-Vers001-B1-Run-001
20220804-4852-D75Ab1F05C9A_Threaten,2022-08-04 00:00:00,Threaten,-3.5,Verbal Conflict,Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Ayman Al-Zawahiri,,Islamic Militant,Ayman Al - Zawahiri,AFG,Afghanistan,2022-08-04,English,Ngec_Coder-Vers001-B1-Run-001
20220525-5535-9Fb386322706_Accuse,2022-05-25 00:00:00,Accuse,-3.0,Verbal Conflict,Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Islamic State,,Salafi Jihadist,Islamic State Group,AFG,Afghanistan,2022-05-25,English,Ngec_Coder-Vers001-B1-Run-001
20220620-7371-40D410Efaafc_Accuse,2022-06-20 00:00:00,Accuse,-3.0,Verbal Conflict,Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,Afghan Taliban Administration,Islamic State,,Salafi Jihadist,Islamic State Group,AFG,Kabul,2022-06-20,English,Ngec_Coder-Vers001-B1-Run-001
20220707-9811-8E43365E6B03_Mobilize,2022-07-07 00:00:00,Mobilize,-5.5,Material Conflict,Military | Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Islamic State,,Salafi Jihadist,Islamic State Group,AFG,Kabul,2022-07-07,English,Ngec_Coder-Vers001-B1-Run-001
20220801-5637-4A13Ab80E2B8_Assault,2022-08-01 00:00:00,Assault,-9.0,Material Conflict,Military | Intelligence | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Islamic State,,Salafi Jihadist,Islamic State,AFG,Kabul,2022-08-01,English,Ngec_Coder-Vers001-B1-Run-001
20221022-5661-773D776D29D3_Assault,2022-10-22 00:00:00,Assault,-9.0,Material Conflict,Diplomatic | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban Security Forces,Islamic State,,Salafi Jihadist,Islamic State Members,AFG,Kabul,2022-10-22,English,Ngec_Coder-Vers001-B1-Run-001
