Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220104-5217-2Baa38C236C2_Threaten,2022-01-04,Threaten,-3.5,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Local Taliban Fighters,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-01-04,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220104-4945-1C10F71B87F7_Assault_Targeted,2022-01-04,Assault,-10.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Ashraf Ghani,Afghanistan,"Previously Held A Gov Role, So Coded As Eli",Ashraf Ghani,AFG,Afghanistan,2022-01-04,English,Ngec_Coder-Vers001-B1-Run-001
20220106-9527-6A9298D856F5_Assault,2022-01-06,Assault,-9.0,Material Conflict,Military | Diplomatic,Taliban,Afghanistan,Islamist Group,Taliban Fighters,Pakistani Military,Pakistan,Military,Pakistani Military,AFG,Nimruz Province,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-6630-E0Daafb064B9_Assault,2022-01-06,Assault,-9.0,Material Conflict,Disasters,Taliban,Afghanistan,Islamist Group,Taliban Administration,People,,Individuals,People,AFG,Afghanistan,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220106-6630-E0Daafb064B9_Coerce,2022-01-06,Coerce,-7.0,Material Conflict,Disasters,Taliban,Afghanistan,Islamist Group,Taliban Administration,People,,Individuals,People,AFG,Afghanistan,2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20220109-7283-993D93A078A2_Accuse,2022-01-09,Accuse,-3.0,Verbal Conflict,Intelligence,Zabiullah Mujahid,Afghanistan,Information And Culture Minister,Zabihullah Mujahid,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-01-09,English,Ngec_Coder-Vers001-B1-Run-001
20220110-6073-F9Ee79Dc2464_Accuse,2022-01-10,Accuse,-3.0,Verbal Conflict,Military,Pakistani Army,Pakistan,Army,Pakistani Army,Taliban,Pakistan,Islamist Group,Pakistani Taliban,AFG,Afghanistan,2022-01-10,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220110-6174-60Ab449Cf258_Accuse,2022-01-10,Accuse,-3.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Kabul,Afghanistan,Capital City,Kabul University Professor,AFG,Kabul,2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
20220111-1535-96Fefe31Cf4A_Request,2022-01-11,Request,0.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,The Taliban,International Community,,International Community,International Community,AFG,Afghanistan,2022-01-11,English,Ngec_Coder-Vers001-B1-Run-001
20220112-3337-B6Aea22A5285_Concede,2022-01-12,Concede,4.5,Verbal Cooperation,Military,Taliban,Afghanistan,Islamist Group,Taliban Border Troops,Pakistan,Pakistan,,Pakistan,AFG,Eastern Afghanistan,2022-01-12,Russian,Ngec_Coder-Vers001-B1-Run-001
20220112-3337-B6Aea22A5285_Retreat,2022-01-12,Retreat,6.5,Material Cooperation,Military,Taliban,Afghanistan,Islamist Group,Taliban Border Troops,Pakistan,Pakistan,,Pakistan,AFG,Eastern Afghanistan,2022-01-12,Russian,Ngec_Coder-Vers001-B1-Run-001
20220112-7849-E72D01548F7D_Protest_Demo,2022-01-12,Protest,-5.0,Material Conflict,,Afghan Women,Afghanistan,Women,Afghan Women,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
20220112-8396-00F51F3F65D7_Request,2022-01-12,Request,0.0,Verbal Conflict,Diplomatic,Sirajuddin Haqqani,Afghanistan,Interior Minister,Sirajuddin Haqqani,Security Forces,,Security Force,Security Forces,AFG,Kabul,2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
20220114-1708-780F9B11C19D_Coerce_Arrest,2022-01-14,Coerce,-7.0,Material Conflict,Military,Security Forces,,Security Force,Security Forces,Taliban,Afghanistan,Islamist Group,Deputy Minister Of Defense Of The Taliban,AFG,Mazar - I - Sharif,2022-01-14,Russian,Ngec_Coder-Vers001-B1-Run-001
20220114-1708-780F9B11C19D_Coerce_Censor,2022-01-14,Coerce,-6.5,Material Conflict,Military,Security Forces,,Security Force,Security Forces,Taliban,Afghanistan,Islamist Group,Deputy Minister Of Defense Of The Taliban,AFG,Mazar - I - Sharif,2022-01-14,Russian,Ngec_Coder-Vers001-B1-Run-001
20220114-6717-383Bf0266Cf3_Coerce_Censor,2022-01-14,Coerce,-6.5,Material Conflict,Military,Protesters,,Protester,Protesters,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Afghanistan,2022-01-14,Russian,Ngec_Coder-Vers001-B1-Run-001
