Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20240226-5390-2Fea7709Ee0A_Coerce_Censor,2024-02-26,Coerce,-6.5,Material Conflict,Election | Terrorism,Authorities,,Writer,Authorities,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Russia,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-6743-58479B43F07B_Request,2024-02-26,Request,0.0,Verbal Conflict,Military | Diplomatic,India,India,,India,Russian Federation,Russia,Federation Council,Russian Federation,RUS,Moscow,2024-02-26,Russian,Ngec_Coder-Vers001-B1-Run-001
20240225-7886-B3F760Dd8F0C_Assault,2024-02-25,Assault,-9.0,Material Conflict,Military,Kyiv,Ukraine,Capital City,Kyiv,Ukrainian Drone,Ukraine,Drone Aircraft,Ukrainian Drone,RUS,Belgorod Region,2024-02-25,Russian,Ngec_Coder-Vers001-B1-Run-001
20240225-8296-4A236D3883F7_Assault,2024-02-25,Assault,-9.0,Material Conflict,Military,Ukrainian Unmanned Aerial Vehicles,Ukraine,Unmanned Aerial Vehicle,Ukrainian Unmanned Aerial Vehicles,Ukrainian Drones,Ukraine,Drone Aircraft,Ukrainian Drones,RUS,Moscow,2024-02-25,Russian,Ngec_Coder-Vers001-B1-Run-001
20240226-2171-0Ea7468C8482_Sanction,2024-02-26,Sanction,-6.0,Material Conflict,,Russian Authorities,Russia,Writer,Russian Authorities,Alexei Navalny,Russia,Leader Of The Opposition,Navalny,RUS,Salekhard,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-8806-A6Ba75392958_Request,2024-02-26,Request,0.0,Verbal Conflict,Military | Human_Rights | Diplomatic,Russian Authorities,Russia,Writer,Russian Authorities,Oleg Orlov (Biologist),Russia,"No Code Identified, But Country Found",Oleg Orlov,RUS,Moscow,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-8806-A6Ba75392958_Accuse,2024-02-26,Accuse,-3.0,Verbal Conflict,Military | Human_Rights | Diplomatic,Russian Authorities,Russia,Writer,Russian Authorities,Oleg Orlov (Biologist),Russia,"No Code Identified, But Country Found",Oleg Orlov,RUS,Moscow,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-8806-A6Ba75392958_Threaten,2024-02-26,Threaten,-3.5,Verbal Conflict,Military | Human_Rights | Diplomatic,Russian Authorities,Russia,Writer,Russian Authorities,Oleg Orlov (Biologist),Russia,"No Code Identified, But Country Found",Oleg Orlov,RUS,Moscow,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-5167-E47Ae9E191D6_Sanction,2024-02-26,Sanction,-6.0,Material Conflict,,Russian Authorities,Russia,Writer,Russian Authorities,Alexei Navalny,Russia,Leader Of The Opposition,Navalny,RUS,Salekhard,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-7033-Ab7883A63044_Accuse,2024-02-26,Accuse,-3.0,Verbal Conflict,,Prosecutor,,Prosecutor,Prosecutor,Radik Tagirov,Russia,Serial Killer,Radik Tagirov,RUS,Kazan,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-7033-Ab7883A63044_Coerce_Arrest,2024-02-26,Coerce,-7.0,Material Conflict,,Prosecutor,,Prosecutor,Prosecutor,Radik Tagirov,Russia,Serial Killer,Radik Tagirov,RUS,Kazan,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-2677-2A7E87Bb38Ab_Assault,2024-02-26,Assault,-9.0,Material Conflict,Military,Russian Air Defense Forces,Russia,Air Force,Russian Air Defense Forces,Ukrainian Drone,Ukraine,Drone Aircraft,Ukrainian Drone,RUS,Belgorod Region,2024-02-26,Russian,Ngec_Coder-Vers001-B1-Run-001
20240226-0108-Ab7883A63044_Accuse,2024-02-26,Accuse,-3.0,Verbal Conflict,,Prosecutor,,Prosecutor,Prosecutor,Radik Tagirov,Russia,Serial Killer,Radik Tagirov,RUS,Kazan,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-0108-Ab7883A63044_Coerce_Arrest,2024-02-26,Coerce,-7.0,Material Conflict,,Prosecutor,,Prosecutor,Prosecutor,Radik Tagirov,Russia,Serial Killer,Radik Tagirov,RUS,Kazan,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-0657-725C464C18Fb_Accuse,2024-02-26,Accuse,-3.0,Verbal Conflict,Military | Human_Rights,Prosecutors,,Prosecutor,Prosecutors,Oleg Orlov (Biologist),Russia,"No Code Identified, But Country Found",Oleg Orlov,RUS,Russia,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-6904-49B9040430A1_Assault,2024-02-26,Assault,-9.0,Material Conflict,Military,Ukrainian Drone,Ukraine,Drone Aircraft,Ukrainian Drone,A Car,,Carmaker,A Car,RUS,Pochaevo,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-6725-0A19A0077117_Assault,2024-02-26,Assault,-9.0,Material Conflict,Military,Ukrainian Armed Forces,Ukraine,Armed Force,Ukrainian Armed Forces,Three Civilians,,Civilian,Three Civilians,RUS,Belgorod Region,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-4873-Ed7C473A409F_Assault,2024-02-26,Assault,-9.0,Material Conflict,,Ukrainian Drone,Ukraine,Drone Aircraft,Ukrainian Drone,Three Civilians,,Civilian,Three Civilians,RUS,Belgorod Region,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-7956-00Fa06A9Eb4D_Assault,2024-02-26,Assault,-9.0,Material Conflict,,Ukrainian Drone,Ukraine,Drone Aircraft,Ukrainian Drone,Three Civilians,,Civilian,Three Civilians,RUS,Belgorod Region,2024-02-26,English,Ngec_Coder-Vers001-B1-Run-001
20240226-3835-35C1E39405F8_Assault,2024-02-26,Assault,-9.0,Material Conflict,Military,Russian Armed Forces,Russia,Armed Force,Russian Armed Forces,Ukrainian Armed Forces Drone,Ukraine,Unmanned Drone,Ukrainian Armed Forces Drone,RUS,Belgorod Region,2024-02-26,Russian,Ngec_Coder-Vers001-B1-Run-001
20240226-4948-5Df99Bc12D71_Coerce_Arrest,2024-02-26,Coerce,-7.0,Material Conflict,Military | Human_Rights,Prosecution,,Prosecutor,Prosecution,Oleg Orlov (Biologist),Russia,"No Code Identified, But Country Found",Oleg Orlov,RUS,Moscow,2024-02-26,Russian,Ngec_Coder-Vers001-B1-Run-001
