Event ID	Event Date	Event Type	Event Mode	Event Intensity	Quad Code	Contexts	Actor Name	Actor Country	Actor COW	Primary Actor Sector	Actor Sectors	Actor Title	Actor Name Raw	Wikipedia Actor ID	Recipient Name	Recipient Country	Recipient COW	Primary Recipient Sector	Recipient Sectors	Recipient Title	Recipient Name Raw	Wikipedia Recipient ID	Placename	City	District	Province	Country	Latitude	Longitude	GeoNames ID	Raw Placename	Feature Type	Source	Publication Date	Story People	Story Organizations	Story Locations	Language	Version
20240526-7941-5e394ffd1d82_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	election | migration 	Narendra Modi	India	750	GOV	GOV	prime minister	Prime Minister Narendra Modi	Narendra Modi	Congee	None	None	LEG	LEG	diet	Congress	Congee	None	None	None	None	None	None	None	None	Uttar Pradesh 's Deoria	None	Hindustan Times	2024-05-26	Narendra Modi | Modi 	SP | the Samajwadi Party | Congress | Opposition 	Deoria | Islamic Republic of Pakistan 	English	NGEC_coder-Vers001-b1-Run-001
20240526-8205-d2526669baa0_ASSAULT	2024-05-26	ASSAULT	None	-9.00	MATERIAL CONFLICT	military 	None	Russia	365	None	None	None	Russia	None	None	None	None	CVL	CVL	village	a village	None	None	None	None	None	None	None	None	None	northeastern Kharkiv region	None	Agence France Presse	2024-05-26	None	None	Ukraine | Kharkivska Oblast | Berestove | Russian Federation | Moscow | Luhansk 	English	NGEC_coder-Vers001-b1-Run-001
20240526-8308-875f18899936_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	Cyril Ramaphosa	South Africa	560	GOV	GOV	president	Matamela Cyril Ramaphosa	Cyril Ramaphosa	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None		None	Trend News Agency	2024-05-26	Ilham Aliyev | Matamela Cyril Ramaphosa 	Trend 	Republic of Azerbaijan | South Africa 	English	NGEC_coder-Vers001-b1-Run-001
20240526-9075-ddbdb4c6fd56_REQUEST	2024-05-26	REQUEST	None	0.00	VERBAL CONFLICT	military | terrorism 	Hama	Syria	652	CVL	CVL	settlement	Hamas	Hama	None	Egypt	651	None	None	None	Egypt	None	Gaza Strip	None	None	Gaza Strip	PSE	31.41667	34.33333	281132	Gaza	ADM1	Al Jazeera English	2024-05-26	Abu Obeida | Osama Hamdan 	Qassam Brigades | the World Court ’s | Hamas | Red Crescent 	Gaza Strip | Rafaḩ | State of Israel | Arab Republic of Egypt | Republic of Korea 	English	NGEC_coder-Vers001-b1-Run-001
20240526-9268-3e5252a90526_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	Ukhnaagiin Khürelsükh	Mongolia	712	GOV	GOV	president	Ukhnaagiin Khürelsükh	Ukhnaagiin Khürelsükh	Ilham Aliyev	Azerbaijan	373	GOV	GOV	president	Ilham Aliyev	Ilham Aliyev	Baku	Baku	None	Baki	AZE	40.37767	49.89201	587084	Baku	PPLC	Trend News Agency	2024-05-26	Ukhnaagiin Khürelsükh | Ilham Aliyev 	Trend | UNFCCC 	Republic of Azerbaijan | Baku | Mongolia 	English	NGEC_coder-Vers001-b1-Run-001
20240526-9350-6f7d1f553415_AID	2024-05-26	AID	NA	10.00	MATERIAL COOPERATION	None	None	Morocco	600	GOV	GOV	king	King of Morocco Mohammed VI	None	Ilham Aliyev	Azerbaijan	373	GOV	GOV	president	Ilham Aliyev	Ilham Aliyev	Kingdom of Morocco	None	None	None	MAR	28.5	-10.0	2542007	Morocco	PCLI	Trend News Agency	2024-05-26	Mohammed VI | Ilham Aliyev 	Trend 	Republic of Azerbaijan | Kingdom of Morocco 	English	NGEC_coder-Vers001-b1-Run-001
20240526-9528-fc360e9c8146_REQUEST	2024-05-26	REQUEST	None	0.00	VERBAL CONFLICT	None	Volodymyr Zelenskyy	Ukraine	369	GOV	GOV	president	Volodymyr Zelenskyy	Volodymyr Zelenskyy	None; None	United States; China	2; 710	None; None	None; None	None; None	US; China	None; None	Switzerland	None	None	None	CHE	47.00016	8.01427	2658434	Switzerland	PCLI	DW English	2024-05-26	Volodymyr Zelenskyy | Zelenskyy | Charles Michel | Joe Biden | Xi Jinping 	European Council 	Ukraine | Russian Federation | People’s Republic of China | United States | Kharkiv | Switzerland 	English	NGEC_coder-Vers001-b1-Run-001
20240526-9528-fc360e9c8146_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	None	None	Ukraine	369	JUD	JUD	prosecutor	Ukrainian prosecutors	None	None	Russia	365	None	None	None	Russian	None	Kharkiv	Kharkiv	None	Kharkiv	UKR	49.98081	36.25272	706483	Kharkiv	PPLA	DW English	2024-05-26	Volodymyr Zelenskyy | Zelenskyy | Charles Michel | Joe Biden | Xi Jinping 	European Council 	Ukraine | Russian Federation | People’s Republic of China | United States | Kharkiv | Switzerland 	English	NGEC_coder-Vers001-b1-Run-001
20240526-0799-9e93d4028751_PROTEST	2024-05-26	PROTEST	None	-5.00	MATERIAL CONFLICT	None	Narendra Modi	India	750	GOV	GOV	prime minister	Prime Minister Narendra Modi	Narendra Modi	All India Forward Bloc	India	750	PTY	PTY	political party	INDIA bloc	All India Forward Bloc	None	None	None	None	None	None	None	None	Uttar Pradesh	None	Indo-Asian News Service	2024-05-26	Narendra Modi | Modi 	SP | Bofors | Samajwadi Party | Congress 	Bangladesh | Bānsgāon | Republic of India | State of Punjab 	English	NGEC_coder-Vers001-b1-Run-001
20240526-1690-2a7cd3924a21_ACCUSE	2024-05-26	ACCUSE	None	-3.00	VERBAL CONFLICT	None	Hyderabad City Police	India	750	COP	COP	law enforcement agency	Hyderabad Police	Hyderabad City Police	None; None	None; None	None; None	CRM; CRM	CRM; CRM	drug gang; gang	smuggling gang; theft gang	None; None	None	None	None	None	None	None	None	None	Hyderabad	None	Indo-Asian News Service	2024-05-26	S. Rashmi Perumal 	Commissioner ’s Task Force 	Hyderābād 	English	NGEC_coder-Vers001-b1-Run-001
20240526-1690-2a7cd3924a21_COERCE	2024-05-26	COERCE	None	-7.00	MATERIAL CONFLICT	None	Hyderabad City Police	India	750	COP	COP	law enforcement agency	Hyderabad Police	Hyderabad City Police	None	None	None	CVL	CVL	suspect	31 accused	None	None	None	None	None	None	None	None	None	Hyderabad	None	Indo-Asian News Service	2024-05-26	S. Rashmi Perumal 	Commissioner ’s Task Force 	Hyderābād 	English	NGEC_coder-Vers001-b1-Run-001
20240526-2064-6d51a41c8175_PROTEST_demo	2024-05-26	PROTEST	demo	-5.00	MATERIAL CONFLICT	None	None	None	None	EDU	EDU	teacher	federal teachers	None	Luiz Inácio Lula da Silva	Brazil	140	GOV	GOV	president	President Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva	Guarulhos	Guarulhos	Guarulhos	São Paulo	BRA	-23.46278	-46.53333	3461786	Guarulhos	PPL	O Estado de São Paulo	2024-05-26	Luiz Inácio Lula da Silva | Lula 	PT | the Ministry of Management and Innovation in Public Services 	Guarulhos | Araraquara 	Portuguese	NGEC_coder-Vers001-b1-Run-001
20240526-2064-6d51a41c8175_PROTEST_strike	2024-05-26	PROTEST	strike	-5.00	MATERIAL CONFLICT	None	None	None	None	EDU	EDU	teacher	federal teachers	None	Luiz Inácio Lula da Silva	Brazil	140	GOV	GOV	president	Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva	Guarulhos	Guarulhos	Guarulhos	São Paulo	BRA	-23.46278	-46.53333	3461786	Guarulhos	PPL	O Estado de São Paulo	2024-05-26	Luiz Inácio Lula da Silva | Lula 	PT | the Ministry of Management and Innovation in Public Services 	Guarulhos | Araraquara 	Portuguese	NGEC_coder-Vers001-b1-Run-001
20240526-2193-7888c460d464_THREATEN	2024-05-26	THREATEN	None	-3.50	VERBAL CONFLICT	None	Luiz Inácio Lula da Silva	Brazil	140	GOV	GOV	president	President Lula	Luiz Inácio Lula da Silva	None	None	None	None	None	None	international purchases	None	None	None	None	None	None	None	None	None	None	None	O Estado de São Paulo	2024-05-26	Arthur Lira | Lula | Celso Ming[CAPI 	the Green Mobility and Innovation Program ( | Chamber | Congress 	People’s Republic of China 	Portuguese	NGEC_coder-Vers001-b1-Run-001
20240526-3056-1572ce36dd07_PROTEST	2024-05-26	PROTEST	None	-5.00	MATERIAL CONFLICT	election 	None	None	None	UNK	UNK | OPP	opposition faction	opposition parties	None	African National Congress	South Africa	560	PTY	PTY	political party	ANC	African National Congress	Benoni	Benoni	Ekurhuleni Metropolitan Municipality	Gauteng	ZAF	-26.18848	28.32078	1020098	Benoni	PPL	Agence France Presse	2024-05-26	Isaac Tembo | Cyril Ramaphosa | Nelson Mandela 's | John Steenhuisen 	African National Congress | the Democratic Alliance | the African National Congress | ANC | DA 	Benoni | Mpumalanga | South Africa | Johannesburg 	English	NGEC_coder-Vers001-b1-Run-001
