Event ID,Event Date,Event Type,Event Mode,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor COW,Primary Actor Sector,Actor Sectors,Actor Title,Actor Name Raw,Wikipedia Actor ID,Recipient Name,Recipient Country,Recipient COW,Primary Recipient Sector,Recipient Sectors,Recipient Title,Recipient Name Raw,Wikipedia Recipient ID,Placename,City,District,Province,Country,Latitude,Longitude,GeoNames ID,Raw Placename,Feature Type,Source,Language
20240322-8146-07451ba739d6_CONCEDE,2024-03-22,CONCEDE,,4.5,VERBAL COOPERATION,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Arvind Kejriwal,India,750.0,GOV,GOV,chief minister,Arvind Kejriwal,Arvind Kejriwal,,,,,,,,,Enforcement Directorate,,Hindustan Times,English
20240201-5444-400aefb94bdb_ACCUSE,2024-02-01,ACCUSE,,-3.0,VERBAL CONFLICT,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP,Bharatiya Janata Party,Delhi,Delhi,,Delhi,IND,28.65195,77.23149,1273294.0,Delhi,PPLA,Hindustan Times,English
20240202-9231-48f85cb22815_ACCUSE,2024-02-02,ACCUSE,,-3.0,VERBAL CONFLICT,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP,Bharatiya Janata Party,Delhi,Delhi,,Delhi,IND,28.65195,77.23149,1273294.0,Delhi,PPLA,Hindustan Times,English
20240206-0997-c810236e147a_PROTEST,2024-02-06,PROTEST,,-5.0,MATERIAL CONFLICT,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Councillors from the ruling Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,Bharatiya Janata Party,Bharatiya Janata Party,State of Bihar,,,Bihar,IND,25.75,85.75,1275715.0,Aman Vihar,ADM1,Hindustan Times,English
20240214-9647-d462cdb45370_ACCUSE,2024-02-14,ACCUSE,,-3.0,VERBAL CONFLICT,,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP government,Bharatiya Janata Party,State of Haryāna,,,Haryana,IND,29.25,76.33333,1270260.0,Haryana,ADM1,Hindustan Times,English
20240214-9647-d462cdb45370_THREATEN,2024-02-14,THREATEN,,-3.5,VERBAL CONFLICT,,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP government,Bharatiya Janata Party,State of Haryāna,,,Haryana,IND,29.25,76.33333,1270260.0,Haryana,ADM1,Hindustan Times,English
20240215-8987-ec9406537562_PROTEST_demo,2024-02-15,PROTEST,demo,-5.0,MATERIAL CONFLICT,,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP - led state government,Bharatiya Janata Party,State of Haryāna,,,Haryana,IND,29.25,76.33333,1270260.0,Haryana,ADM1,Hindustan Times,English
20240224-1690-38839841d012_ACCUSE,2024-02-24,ACCUSE,,-3.0,VERBAL CONFLICT,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP,Bharatiya Janata Party,Chandīgarh,Chandīgarh,Chandigarh,Chandigarh,IND,30.73629,76.7884,1274746.0,Chandigarh,PPLA,Hindustan Times,English
20240226-6350-1cde914c0146_RETREAT,2024-02-26,RETREAT,,6.5,MATERIAL COOPERATION,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,BJP,Bharatiya Janata Party,Chandīgarh,Chandīgarh,Chandigarh,Chandigarh,IND,30.73629,76.7884,1274746.0,Chandigarh,PPLA,Hindustan Times,English
20240322-7799-2e0fe67d6526_PROTEST_demo,2024-03-22,PROTEST,demo,-5.0,MATERIAL CONFLICT,,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,Bharatiya Janata Party,Bharatiya Janata Party,Delhi,Delhi,,Delhi,IND,28.65195,77.23149,1273294.0,Delhi,PPLA,Hindustan Times,English
20240322-6836-8fee0e5f86ae_MOBILIZE_police,2024-03-22,MOBILIZE,police,-5.5,MATERIAL CONFLICT,,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,Bharatiya Janata Party,Bharatiya Janata Party,,,,,,,,,Central Delhi,,Hindustan Times,English
20240323-8642-03c48ff73072_PROTEST_demo,2024-03-23,PROTEST,demo,-5.0,MATERIAL CONFLICT,election ,Aam Aadmi Party,India,750,PTY,PTY,political party,Aam Aadmi Party,Aam Aadmi Party,Bharatiya Janata Party,India,750.0,PTY,PTY,political party,Bharatiya Janata Party,Bharatiya Janata Party,New Delhi,New Delhi,New Delhi,Delhi,IND,28.63576,77.22445,1261481.0,New Delhi,PPLC,The Straits Times,English
