Event ID,Event Date,Event Type,Event Mode,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor COW,Primary Actor Sector,Actor Sectors,Actor Title,Actor Name Raw,Wikipedia Actor ID,Recipient Name,Recipient Country,Recipient COW,Primary Recipient Sector,Recipient Sectors,Recipient Title,Recipient Name Raw,Wikipedia Recipient ID,Placename,City,District,Province,Country,Latitude,Longitude,GeoNames ID,Raw Placename,Feature Type,Source,Publication Date,Story People,Story Organizations,Story Locations,Language,Version
20231231-1075-cb07b4c0139b_THREATEN_territory,2023-12-31,THREATEN,territory,-4.00,VERBAL CONFLICT,military | terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,Khān Yūnis,Khān Yūnis,Khan Yunis Governorate,Gaza Strip,PSE,31.34018,34.30627,281124,Khan Younis,PPLA2,DW English,2023-12-31,Daniel Hagari | Benjamin Netanyahu | Yehya Sinwar ,IDF | The Israel Defense Forces | Hamas ,Khān Yūnis | United States | Republic of Yemen | Arab Republic of Egypt | State of Israel | Gaza Strip ,English,NGEC_coder-Vers001-b1-Run-001
20240102-2349-3b800104f953_SANCTION,2024-01-02,SANCTION,None,-6.00,MATERIAL CONFLICT,terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Israeli Prime Minister Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Gaza,None,Reuters News,2024-01-02,Benjamin Netanyahu ,Hamas ,Gaza Strip ,English,NGEC_coder-Vers001-b1-Run-001
20240118-9689-3e8dc91f684d_REQUEST,2024-01-18,REQUEST,None,0.00,VERBAL CONFLICT,military | terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,Tel Aviv,Tel Aviv,None,Tel Aviv,ISR,32.08088,34.78057,293397,Tel Aviv,PPLA,Xinhua News Agency,2024-01-18,Benjamin Netanyahu | Netanyahu ,Hamas ,Tel Aviv | State of Israel | Gaza Strip ,English,NGEC_coder-Vers001-b1-Run-001
20240121-9346-c2f7b7626d1a_THREATEN,2024-01-21,THREATEN,None,-3.50,VERBAL CONFLICT,terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Israeli,None,Reuters News,2024-01-21,Joe Biden | Benjamin Netanyahu | Netanyahu ,Hamas ,United States | State of Qatar | Arab Republic of Egypt | State of Israel | Gaza Strip ,English,NGEC_coder-Vers001-b1-Run-001
20240121-9943-c2f7b7626d1a_THREATEN,2024-01-21,THREATEN,None,-3.50,VERBAL CONFLICT,terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Israeli,None,Reuters News,2024-01-21,Joe Biden | Benjamin Netanyahu | Netanyahu ,Hamas ,United States | State of Qatar | Arab Republic of Egypt | State of Israel | Gaza Strip ,English,NGEC_coder-Vers001-b1-Run-001
20240122-3250-1f0a180e258c_THREATEN,2024-01-22,THREATEN,None,-3.50,VERBAL CONFLICT,military | terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Gaza Strip,None,FARS News Agency,2024-01-22,Joe Biden | Benjamin Netanyahu | Netanyahu ,the Israeli Army | Al - Jazeera | Hamas ,United States | State of Israel ,English,NGEC_coder-Vers001-b1-Run-001
20240122-3250-1f0a180e258c_REQUEST,2024-01-22,REQUEST,None,0.00,VERBAL CONFLICT,military | terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Gaza Strip,None,FARS News Agency,2024-01-22,Joe Biden | Benjamin Netanyahu | Netanyahu ,the Israeli Army | Al - Jazeera | Hamas ,United States | State of Israel ,English,NGEC_coder-Vers001-b1-Run-001
20240205-9663-0196ebffccbf_REQUEST,2024-02-05,REQUEST,None,0.00,VERBAL CONFLICT,military | terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,Kingdom of Saudi Arabia,None,None,None,SAU,25.0,45.0,102358,Saudi Arabia,PCLI,Euronews,2024-02-05,Antony Blinken | Benjamin Netanyahu | Stéphane Séjourné ,State | Hamas ,United States | Kingdom of Saudi Arabia | State of Israel | Gaza Strip | Jerusalem ,French,NGEC_coder-Vers001-b1-Run-001
20240207-7452-565086c87671_ACCUSE,2024-02-07,ACCUSE,None,-3.00,VERBAL CONFLICT,terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Israeli Prime Minister Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Gaza Strip,None,Xinhua News Agency,2024-02-07,Benjamin Netanyahu | Netanyahu ,IDF | the Israel Defense Forces | Hamas ,Gaza | State of Israel | Gaza Strip | State of Qatar ,English,NGEC_coder-Vers001-b1-Run-001
20240207-7452-565086c87671_THREATEN,2024-02-07,THREATEN,None,-3.50,VERBAL CONFLICT,terrorism ,Benjamin Netanyahu,Israel,666,ELI,ELI,"previously held a GOV role, so coded as ELI. Extracted countries don't match: ['ISR', 'UNO']",Israeli Prime Minister Benjamin Netanyahu,Benjamin Netanyahu,Hama,Syria,652,CVL,CVL,settlement,Hamas,Hama,None,None,None,None,None,None,None,None,Gaza Strip,None,Xinhua News Agency,2024-02-07,Benjamin Netanyahu | Netanyahu ,IDF | the Israel Defense Forces | Hamas ,Gaza | State of Israel | Gaza Strip | State of Qatar ,English,NGEC_coder-Vers001-b1-Run-001
